,difference_in_rates,discharge_year,expected_rate_per_100_000_people,observed_rate_per_100_000_people,patient_zip_code,pdi_name,pdi_number,risk_adjusted_rate_per_100_000_people
13996,-92.06,2012,92.06,0.0,12074,Asthma,PDI_14,0.0
14021,-133.71,2009,133.71,0.0,12075,Asthma,PDI_14,0.0
14022,-102.35,2010,102.35,0.0,12075,Asthma,PDI_14,0.0
14023,-102.63,2011,102.63,0.0,12075,Asthma,PDI_14,0.0
14024,-110.64,2012,110.64,0.0,12075,Asthma,PDI_14,0.0
14049,-141.69,2009,141.69,0.0,12076,Asthma,PDI_14,0.0
14050,-105.94,2010,105.94,0.0,12076,Asthma,PDI_14,0.0
14051,-108.3,2011,108.3,0.0,12076,Asthma,PDI_14,0.0
14052,-106.32,2012,106.32,0.0,12076,Asthma,PDI_14,0.0
14078,-123.78,2009,123.78,0.0,12077,Asthma,PDI_14,0.0
14079,-101.2,2010,101.2,0.0,12077,Asthma,PDI_14,0.0
14080,-36.36,2011,99.53,63.17,12077,Asthma,PDI_14,130.92
14081,-96.56,2012,96.56,0.0,12077,Asthma,PDI_14,0.0
14106,112.33,2009,131.67,244.0,12078,Asthma,PDI_14,450.22
14107,174.77,2010,111.19,285.95,12078,Asthma,PDI_14,529.22
14108,88.5,2011,113.49,201.98,12078,Asthma,PDI_14,367.13
14109,15.61,2012,119.32,134.93,12078,Asthma,PDI_14,237.91
14133,22.8,2009,113.63,136.43,12083,Asthma,PDI_14,291.69
14134,56.17,2010,87.3,143.47,12083,Asthma,PDI_14,338.19
14135,-89.72,2011,89.72,0.0,12083,Asthma,PDI_14,0.0
14136,-88.29,2012,88.29,0.0,12083,Asthma,PDI_14,0.0
14161,-131.39,2009,131.39,0.0,12084,Asthma,PDI_14,0.0
14162,-110.21,2010,110.21,0.0,12084,Asthma,PDI_14,0.0
14163,-110.52,2011,110.52,0.0,12084,Asthma,PDI_14,0.0
14164,-10.01,2012,111.53,101.52,12084,Asthma,PDI_14,191.52
14172,-118.13,2009,118.13,0.0,12117,Asthma,PDI_14,0.0
14190,-119.65,2009,119.65,0.0,12086,Asthma,PDI_14,0.0
14191,-92.61,2010,92.61,0.0,12086,Asthma,PDI_14,0.0
14192,-96.04,2011,96.04,0.0,12086,Asthma,PDI_14,0.0
14193,-96.43,2012,96.43,0.0,12086,Asthma,PDI_14,0.0
14218,-115.06,2009,115.06,0.0,12087,Asthma,PDI_14,0.0
14219,-95.89,2010,95.89,0.0,12087,Asthma,PDI_14,0.0
14220,-95.92,2011,95.92,0.0,12087,Asthma,PDI_14,0.0
14221,-98.19,2012,98.19,0.0,12087,Asthma,PDI_14,0.0
14246,-33.07,2009,109.35,76.28,12090,Asthma,PDI_14,169.48
14247,-89.39,2010,89.39,0.0,12090,Asthma,PDI_14,0.0
14248,-89.73,2011,89.73,0.0,12090,Asthma,PDI_14,0.0
14249,-95.17,2012,95.17,0.0,12090,Asthma,PDI_14,0.0
14274,-121.8,2009,121.8,0.0,12092,Asthma,PDI_14,0.0
14275,304.36,2010,100.5,404.86,12092,Asthma,PDI_14,828.99
14276,-89.88,2011,89.88,0.0,12092,Asthma,PDI_14,0.0
14277,-89.78,2012,89.78,0.0,12092,Asthma,PDI_14,0.0
14302,-128.05,2009,128.05,0.0,12093,Asthma,PDI_14,0.0
14303,252.05,2010,110.27,362.32,12093,Asthma,PDI_14,676.11
14304,-103.28,2011,103.28,0.0,12093,Asthma,PDI_14,0.0
14305,-92.5,2012,92.5,0.0,12093,Asthma,PDI_14,0.0
14330,423.29,2009,115.31,538.6,12094,Asthma,PDI_14,1134.84
14331,-99.72,2010,99.72,0.0,12094,Asthma,PDI_14,0.0
14332,-98.84,2011,98.84,0.0,12094,Asthma,PDI_14,0.0
14333,-98.86,2012,98.86,0.0,12094,Asthma,PDI_14,0.0
14358,71.6,2009,123.64,195.24,12095,Asthma,PDI_14,383.63
14359,-26.13,2010,105.84,79.71,12095,Asthma,PDI_14,154.99
14360,219.23,2011,104.26,323.49,12095,Asthma,PDI_14,640.03
14361,165.23,2012,102.15,267.38,12095,Asthma,PDI_14,550.68
14386,-111.66,2009,111.66,0.0,12106,Asthma,PDI_14,0.0
14387,-85.23,2010,85.23,0.0,12106,Asthma,PDI_14,0.0
14388,-93.19,2011,93.19,0.0,12106,Asthma,PDI_14,0.0
14389,-96.16,2012,96.16,0.0,12106,Asthma,PDI_14,0.0
14414,-162.03,2009,162.03,0.0,12108,Asthma,PDI_14,0.0
14415,-113.85,2010,113.85,0.0,12108,Asthma,PDI_14,0.0
14416,-72.54,2011,72.54,0.0,12108,Asthma,PDI_14,0.0
14417,-113.23,2012,113.23,0.0,12108,Asthma,PDI_14,0.0
14438,448.24,2010,80.86,529.1,12117,Asthma,PDI_14,1346.43
14443,-50.54,2009,129.63,79.09,12110,Asthma,PDI_14,148.23
14444,-78.53,2010,107.32,28.79,12110,Asthma,PDI_14,55.2
14445,-50.91,2011,108.1,57.19,12110,Asthma,PDI_14,109.13
14446,-93.27,2012,120.78,27.51,12110,Asthma,PDI_14,47.92
14471,-84.62,2009,84.62,0.0,12115,Asthma,PDI_14,0.0
14472,-94.91,2010,94.91,0.0,12115,Asthma,PDI_14,0.0
14473,-96.29,2011,96.29,0.0,12115,Asthma,PDI_14,0.0
14474,-142.02,2012,142.02,0.0,12115,Asthma,PDI_14,0.0
14499,-123.94,2009,123.94,0.0,12116,Asthma,PDI_14,0.0
14500,-95.22,2010,95.22,0.0,12116,Asthma,PDI_14,0.0
14501,-100.62,2011,100.62,0.0,12116,Asthma,PDI_14,0.0
14502,-91.44,2012,91.44,0.0,12116,Asthma,PDI_14,0.0
14527,93.88,2011,84.69,178.57,12117,Asthma,PDI_14,434.94
14528,-74.87,2012,74.87,0.0,12117,Asthma,PDI_14,0.0
14553,34.73,2009,117.02,151.75,12118,Asthma,PDI_14,315.05
14554,-54.45,2010,93.32,38.87,12118,Asthma,PDI_14,85.7
14555,52.95,2011,93.36,146.31,12118,Asthma,PDI_14,323.26
14556,-2.37,2012,98.74,96.37,12118,Asthma,PDI_14,205.34
14581,732.03,2009,137.54,869.57,12120,Asthma,PDI_14,1536.04
14582,-111.63,2010,111.63,0.0,12120,Asthma,PDI_14,0.0
14583,-126.86,2011,126.86,0.0,12120,Asthma,PDI_14,0.0
14584,802.64,2012,106.45,909.09,12120,Asthma,PDI_14,1796.71
14609,120.19,2009,111.29,231.48,12121,Asthma,PDI_14,505.34
14610,-92.14,2010,92.14,0.0,12121,Asthma,PDI_14,0.0
14611,-88.66,2011,88.66,0.0,12121,Asthma,PDI_14,0.0
14612,149.55,2012,84.09,233.64,12121,Asthma,PDI_14,584.59
14637,9.18,2009,119.52,128.7,12122,Asthma,PDI_14,261.61
14638,34.86,2010,93.02,127.88,12122,Asthma,PDI_14,282.9
14639,-93.01,2011,93.01,0.0,12122,Asthma,PDI_14,0.0
14640,21.11,2012,87.23,108.34,12122,Asthma,PDI_14,261.31
14659,296.04,2010,103.96,400.0,12149,Asthma,PDI_14,791.76
14666,66.1,2009,114.73,180.83,12123,Asthma,PDI_14,382.94
14667,-94.69,2010,94.69,0.0,12123,Asthma,PDI_14,0.0
14668,-94.35,2011,94.35,0.0,12123,Asthma,PDI_14,0.0
14669,-95.87,2012,95.87,0.0,12123,Asthma,PDI_14,0.0
14694,-112.19,2009,112.19,0.0,12125,Asthma,PDI_14,0.0
14695,-95.23,2010,95.23,0.0,12125,Asthma,PDI_14,0.0
14696,-90.82,2011,90.82,0.0,12125,Asthma,PDI_14,0.0
14697,-90.12,2012,90.12,0.0,12125,Asthma,PDI_14,0.0
14722,-129.09,2009,129.09,0.0,12130,Asthma,PDI_14,0.0
14723,-103.15,2010,103.15,0.0,12130,Asthma,PDI_14,0.0
14724,-106.98,2011,106.98,0.0,12130,Asthma,PDI_14,0.0
14725,-103.25,2012,103.25,0.0,12130,Asthma,PDI_14,0.0
14750,-101.64,2009,101.64,0.0,12131,Asthma,PDI_14,0.0
14751,-97.37,2010,97.37,0.0,12131,Asthma,PDI_14,0.0
14752,-86.96,2011,86.96,0.0,12131,Asthma,PDI_14,0.0
14753,-90.7,2012,90.7,0.0,12131,Asthma,PDI_14,0.0
14778,490.07,2009,130.09,620.16,12134,Asthma,PDI_14,1158.16
14779,196.7,2010,110.05,306.75,12134,Asthma,PDI_14,573.59
14780,199.79,2011,100.07,299.85,12134,Asthma,PDI_14,618.12
14781,182.13,2012,112.0,294.12,12134,Asthma,PDI_14,552.52
14806,-128.42,2009,128.42,0.0,12136,Asthma,PDI_14,0.0
14807,-111.07,2010,111.07,0.0,12136,Asthma,PDI_14,0.0
14808,-126.88,2011,126.88,0.0,12136,Asthma,PDI_14,0.0
14809,-99.95,2012,99.95,0.0,12136,Asthma,PDI_14,0.0
14834,206.81,2009,106.67,313.48,12137,Asthma,PDI_14,713.99
14835,-83.83,2010,83.83,0.0,12137,Asthma,PDI_14,0.0
14836,-90.69,2011,90.69,0.0,12137,Asthma,PDI_14,0.0
14837,-87.77,2012,87.77,0.0,12137,Asthma,PDI_14,0.0
14838,-107.15,2011,107.15,0.0,12149,Asthma,PDI_14,0.0
14863,26.54,2009,109.51,136.05,12138,Asthma,PDI_14,301.85
14864,-90.27,2010,90.27,0.0,12138,Asthma,PDI_14,0.0
14865,51.19,2011,91.46,142.65,12138,Asthma,PDI_14,321.74
14866,-102.49,2012,102.49,0.0,12138,Asthma,PDI_14,0.0
14883,-89.23,2012,89.23,0.0,12149,Asthma,PDI_14,0.0
14892,-91.8,2009,91.8,0.0,12139,Asthma,PDI_14,0.0
14893,-107.6,2010,107.6,0.0,12139,Asthma,PDI_14,0.0
14894,-130.06,2011,130.06,0.0,12139,Asthma,PDI_14,0.0
14895,-67.64,2012,67.64,0.0,12139,Asthma,PDI_14,0.0
14920,207.49,2009,113.03,320.51,12140,Asthma,PDI_14,688.96
14921,258.78,2010,93.33,352.11,12140,Asthma,PDI_14,776.33
14922,-93.2,2011,93.2,0.0,12140,Asthma,PDI_14,0.0
14923,-87.05,2012,87.05,0.0,12140,Asthma,PDI_14,0.0
14948,2.84,2009,140.02,142.86,12143,Asthma,PDI_14,247.88
14949,-115.48,2010,115.48,0.0,12143,Asthma,PDI_14,0.0
14950,-43.47,2011,116.36,72.89,12143,Asthma,PDI_14,129.21
14951,-118.27,2012,118.27,0.0,12143,Asthma,PDI_14,0.0
14976,10.02,2009,161.06,171.07,12144,Asthma,PDI_14,258.05
14977,42.5,2010,135.93,178.43,12144,Asthma,PDI_14,270.12
14978,68.14,2011,136.73,204.87,12144,Asthma,PDI_14,309.07
14979,-66.48,2012,157.02,90.54,12144,Asthma,PDI_14,121.31
15004,-134.44,2009,134.44,0.0,12147,Asthma,PDI_14,0.0
15005,-126.02,2010,126.02,0.0,12147,Asthma,PDI_14,0.0
15006,-116.5,2011,116.5,0.0,12147,Asthma,PDI_14,0.0
15007,-90.17,2012,90.17,0.0,12147,Asthma,PDI_14,0.0
15032,-123.52,2009,123.52,0.0,12148,Asthma,PDI_14,0.0
15033,-103.67,2010,103.67,0.0,12148,Asthma,PDI_14,0.0
15034,-102.88,2011,102.88,0.0,12148,Asthma,PDI_14,0.0
15035,-107.85,2012,107.85,0.0,12148,Asthma,PDI_14,0.0
15060,-124.78,2009,124.78,0.0,12149,Asthma,PDI_14,0.0
15085,1337.33,2009,111.96,1449.28,12150,Asthma,PDI_14,3145.08
15086,-100.32,2010,100.32,0.0,12150,Asthma,PDI_14,0.0
15087,612.7,2011,101.59,714.29,12150,Asthma,PDI_14,1450.29
15088,-75.46,2012,75.46,0.0,12150,Asthma,PDI_14,0.0
15113,-129.78,2009,129.78,0.0,12151,Asthma,PDI_14,0.0
15114,-101.6,2010,101.6,0.0,12151,Asthma,PDI_14,0.0
15115,958.14,2011,105.69,1063.83,12151,Asthma,PDI_14,2076.26
15116,-99.48,2012,99.48,0.0,12151,Asthma,PDI_14,0.0
15142,-114.57,2009,114.57,0.0,12153,Asthma,PDI_14,0.0
15143,-93.52,2010,93.52,0.0,12153,Asthma,PDI_14,0.0
15144,-95.86,2011,95.86,0.0,12153,Asthma,PDI_14,0.0
15145,-93.59,2012,93.59,0.0,12153,Asthma,PDI_14,0.0
15170,-114.07,2009,114.07,0.0,12154,Asthma,PDI_14,0.0
15171,-93.78,2010,93.78,0.0,12154,Asthma,PDI_14,0.0
15172,-89.39,2011,89.39,0.0,12154,Asthma,PDI_14,0.0
15173,64.5,2012,85.2,149.7,12154,Asthma,PDI_14,369.68
15199,-122.9,2009,122.9,0.0,12155,Asthma,PDI_14,0.0
15200,-96.18,2010,96.18,0.0,12155,Asthma,PDI_14,0.0
15201,-96.06,2011,96.06,0.0,12155,Asthma,PDI_14,0.0
15202,-100.4,2012,100.4,0.0,12155,Asthma,PDI_14,0.0
15227,-105.15,2009,105.15,0.0,12156,Asthma,PDI_14,0.0
15228,-90.63,2010,90.63,0.0,12156,Asthma,PDI_14,0.0
15229,-92.65,2011,92.65,0.0,12156,Asthma,PDI_14,0.0
15230,-102.66,2012,102.66,0.0,12156,Asthma,PDI_14,0.0
15255,-110.87,2009,110.87,0.0,12157,Asthma,PDI_14,0.0
15256,-96.09,2010,96.09,0.0,12157,Asthma,PDI_14,0.0
15257,24.05,2011,95.42,119.47,12157,Asthma,PDI_14,258.28
15258,-90.16,2012,90.16,0.0,12157,Asthma,PDI_14,0.0
15281,-1.32,2009,128.47,127.15,12158,Asthma,PDI_14,240.45
15282,-40.85,2010,104.91,64.06,12158,Asthma,PDI_14,125.65
15283,-106.79,2011,106.79,0.0,12158,Asthma,PDI_14,0.0
15284,-106.95,2012,106.95,0.0,12158,Asthma,PDI_14,0.0
15309,-122.48,2009,122.48,0.0,12159,Asthma,PDI_14,0.0
15310,-103.38,2010,103.38,0.0,12159,Asthma,PDI_14,0.0
15311,-37.49,2011,102.89,65.4,12159,Asthma,PDI_14,131.12
15312,-51.31,2012,115.62,64.31,12159,Asthma,PDI_14,117.02
15327,-105.99,2010,105.99,0.0,12169,Asthma,PDI_14,0.0
15338,-123.11,2009,123.11,0.0,12160,Asthma,PDI_14,0.0
15339,-93.23,2010,93.23,0.0,12160,Asthma,PDI_14,0.0
15340,-94.85,2011,94.85,0.0,12160,Asthma,PDI_14,0.0
15341,-104.15,2012,104.15,0.0,12160,Asthma,PDI_14,0.0
15366,-86.42,2009,86.42,0.0,12164,Asthma,PDI_14,0.0
15367,-96.71,2010,96.71,0.0,12164,Asthma,PDI_14,0.0
15368,-77.45,2011,77.45,0.0,12164,Asthma,PDI_14,0.0
15369,-158.7,2012,158.7,0.0,12164,Asthma,PDI_14,0.0
15394,-133.54,2009,133.54,0.0,12165,Asthma,PDI_14,0.0
15395,-89.95,2010,89.95,0.0,12165,Asthma,PDI_14,0.0
15396,-142.84,2011,142.84,0.0,12165,Asthma,PDI_14,0.0
15397,-68.85,2012,68.85,0.0,12165,Asthma,PDI_14,0.0
15422,-107.62,2009,107.62,0.0,12166,Asthma,PDI_14,0.0
15423,-93.06,2010,93.06,0.0,12166,Asthma,PDI_14,0.0
15424,-91.12,2011,91.12,0.0,12166,Asthma,PDI_14,0.0
15425,-87.82,2012,87.82,0.0,12166,Asthma,PDI_14,0.0
15450,37.13,2009,139.86,176.99,12167,Asthma,PDI_14,307.45
15451,-110.8,2010,110.8,0.0,12167,Asthma,PDI_14,0.0
15452,84.13,2011,115.47,199.6,12167,Asthma,PDI_14,356.57
15453,-89.03,2012,89.03,0.0,12167,Asthma,PDI_14,0.0
15478,-123.77,2009,123.77,0.0,12168,Asthma,PDI_14,0.0
15479,-100.0,2010,100.0,0.0,12168,Asthma,PDI_14,0.0
15480,-94.11,2011,94.11,0.0,12168,Asthma,PDI_14,0.0
15481,-103.96,2012,103.96,0.0,12168,Asthma,PDI_14,0.0
15506,-97.13,2009,97.13,0.0,12169,Asthma,PDI_14,0.0
15507,-79.41,2011,79.41,0.0,12169,Asthma,PDI_14,0.0
15508,-98.42,2012,98.42,0.0,12169,Asthma,PDI_14,0.0
15533,-22.91,2009,107.3,84.39,12170,Asthma,PDI_14,191.07
15534,-4.22,2010,89.91,85.69,12170,Asthma,PDI_14,196.13
15535,88.82,2011,87.39,176.21,12170,Asthma,PDI_14,415.92
15536,-5.61,2012,97.44,91.83,12170,Asthma,PDI_14,198.27
15561,-131.82,2009,131.82,0.0,12173,Asthma,PDI_14,0.0
15562,-101.11,2010,101.11,0.0,12173,Asthma,PDI_14,0.0
15563,-101.44,2011,101.44,0.0,12173,Asthma,PDI_14,0.0
15564,-111.09,2012,111.09,0.0,12173,Asthma,PDI_14,0.0
15589,-130.24,2009,130.24,0.0,12175,Asthma,PDI_14,0.0
15590,525.4,2010,95.72,621.12,12175,Asthma,PDI_14,1335.28
15591,-102.28,2011,102.28,0.0,12175,Asthma,PDI_14,0.0
15592,-85.0,2012,85.0,0.0,12175,Asthma,PDI_14,0.0
15596,-128.22,2009,128.22,0.0,12184,Asthma,PDI_14,0.0
15618,-91.64,2009,91.64,0.0,12176,Asthma,PDI_14,0.0
15619,-78.1,2010,78.1,0.0,12176,Asthma,PDI_14,0.0
15620,-95.55,2011,95.55,0.0,12176,Asthma,PDI_14,0.0
15621,-73.05,2012,73.05,0.0,12176,Asthma,PDI_14,0.0
15646,-45.21,2009,227.36,182.15,12180,Asthma,PDI_14,194.64
15647,-32.57,2010,196.66,164.09,12180,Asthma,PDI_14,171.69
15648,-106.73,2011,200.23,93.5,12180,Asthma,PDI_14,96.32
15649,-108.26,2012,208.76,100.5,12180,Asthma,PDI_14,101.29
15674,-8.94,2009,178.14,169.2,12182,Asthma,PDI_14,230.76
15675,-154.45,2010,154.45,0.0,12182,Asthma,PDI_14,0.0
15676,-123.14,2011,157.95,34.81,12182,Asthma,PDI_14,45.46
15677,-104.61,2012,199.49,94.88,12182,Asthma,PDI_14,100.06
15702,-142.23,2009,142.23,0.0,12183,Asthma,PDI_14,0.0
15703,-117.55,2010,117.55,0.0,12183,Asthma,PDI_14,0.0
15704,80.97,2011,122.28,203.25,12183,Asthma,PDI_14,342.86
15705,-176.57,2012,176.57,0.0,12183,Asthma,PDI_14,0.0
15730,-96.09,2010,96.09,0.0,12184,Asthma,PDI_14,0.0
15731,-28.18,2011,97.53,69.35,12184,Asthma,PDI_14,146.68
15732,-100.21,2012,100.21,0.0,12184,Asthma,PDI_14,0.0
15757,-112.89,2009,112.89,0.0,12185,Asthma,PDI_14,0.0
15758,-98.23,2010,98.23,0.0,12185,Asthma,PDI_14,0.0
15759,-98.42,2011,98.42,0.0,12185,Asthma,PDI_14,0.0
15760,-99.04,2012,99.04,0.0,12185,Asthma,PDI_14,0.0
15785,35.02,2009,118.47,153.49,12186,Asthma,PDI_14,314.78
15786,64.54,2010,95.2,159.74,12186,Asthma,PDI_14,345.28
15787,-17.33,2011,98.37,81.04,12186,Asthma,PDI_14,169.93
15788,-15.14,2012,94.25,79.11,12186,Asthma,PDI_14,176.61
15813,-99.5,2009,99.5,0.0,12187,Asthma,PDI_14,0.0
15814,-88.35,2010,88.35,0.0,12187,Asthma,PDI_14,0.0
15815,-92.59,2011,92.59,0.0,12187,Asthma,PDI_14,0.0
15816,-102.19,2012,102.19,0.0,12187,Asthma,PDI_14,0.0
15841,-33.25,2009,131.24,97.99,12188,Asthma,PDI_14,181.4
15842,-58.48,2010,108.86,50.38,12188,Asthma,PDI_14,95.23
15843,-58.4,2011,107.88,49.48,12188,Asthma,PDI_14,94.61
15844,-77.46,2012,125.08,47.62,12188,Asthma,PDI_14,80.1
15869,-134.05,2009,163.93,29.88,12189,Asthma,PDI_14,44.28
15870,44.15,2010,139.06,183.21,12189,Asthma,PDI_14,271.1
15871,-140.38,2011,140.38,0.0,12189,Asthma,PDI_14,0.0
15872,-52.34,2012,159.95,107.61,12189,Asthma,PDI_14,141.55
15897,-168.15,2009,168.15,0.0,12190,Asthma,PDI_14,0.0
15898,-97.98,2010,97.98,0.0,12190,Asthma,PDI_14,0.0
15899,-103.53,2011,103.53,0.0,12190,Asthma,PDI_14,0.0
15900,-132.75,2012,132.75,0.0,12190,Asthma,PDI_14,0.0
15925,-123.67,2009,123.67,0.0,12192,Asthma,PDI_14,0.0
15926,-101.23,2010,101.23,0.0,12192,Asthma,PDI_14,0.0
15927,-96.98,2011,96.98,0.0,12192,Asthma,PDI_14,0.0
15928,-98.27,2012,98.27,0.0,12192,Asthma,PDI_14,0.0
15953,97.31,2009,115.46,212.77,12193,Asthma,PDI_14,447.7
15954,-97.37,2010,97.37,0.0,12193,Asthma,PDI_14,0.0
15955,-98.26,2011,98.26,0.0,12193,Asthma,PDI_14,0.0
15956,-88.77,2012,88.77,0.0,12193,Asthma,PDI_14,0.0
15981,-101.34,2009,101.34,0.0,12194,Asthma,PDI_14,0.0
15982,-94.01,2010,94.01,0.0,12194,Asthma,PDI_14,0.0
15983,-145.18,2011,145.18,0.0,12194,Asthma,PDI_14,0.0
15984,-95.02,2012,95.02,0.0,12194,Asthma,PDI_14,0.0
16009,-114.03,2009,114.03,0.0,12196,Asthma,PDI_14,0.0
16010,-91.47,2010,91.47,0.0,12196,Asthma,PDI_14,0.0
16011,-84.66,2011,84.66,0.0,12196,Asthma,PDI_14,0.0
16012,-104.19,2012,104.19,0.0,12196,Asthma,PDI_14,0.0
16037,105.53,2009,123.3,228.83,12197,Asthma,PDI_14,450.89
16038,-100.96,2010,100.96,0.0,12197,Asthma,PDI_14,0.0
16039,106.39,2011,109.59,215.98,12197,Asthma,PDI_14,406.54
16040,105.08,2012,100.68,205.76,12197,Asthma,PDI_14,430.0
16065,-67.22,2009,124.14,56.92,12198,Asthma,PDI_14,111.39
16066,-104.12,2010,104.12,0.0,12198,Asthma,PDI_14,0.0
16067,-48.75,2011,107.3,58.55,12198,Asthma,PDI_14,112.56
16068,-39.14,2012,95.86,56.72,12198,Asthma,PDI_14,124.49
16093,-28.15,2009,449.91,421.76,12202,Asthma,PDI_14,227.75
16094,-173.22,2010,386.26,213.04,12202,Asthma,PDI_14,113.49
16095,-86.34,2011,380.21,293.87,12202,Asthma,PDI_14,159.43
16096,-113.07,2012,397.62,284.55,12202,Asthma,PDI_14,150.56
16121,-166.0,2009,189.73,23.73,12203,Asthma,PDI_14,30.39
16122,-111.8,2010,159.8,48.0,12203,Asthma,PDI_14,61.81
16123,-86.02,2011,158.75,72.73,12203,Asthma,PDI_14,94.5
16124,-123.66,2012,168.85,45.19,12203,Asthma,PDI_14,56.31
16149,-215.1,2009,293.9,78.8,12204,Asthma,PDI_14,65.14
16150,-176.81,2010,254.87,78.06,12204,Asthma,PDI_14,63.03
16151,-269.85,2011,269.85,0.0,12204,Asthma,PDI_14,0.0
16152,-102.78,2012,294.47,191.69,12204,Asthma,PDI_14,136.96
16177,-14.93,2009,141.94,127.01,12205,Asthma,PDI_14,217.4
16178,11.71,2010,117.63,129.34,12205,Asthma,PDI_14,226.26
16179,44.21,2011,119.32,163.53,12205,Asthma,PDI_14,282.72
16180,-90.32,2012,130.44,40.12,12205,Asthma,PDI_14,64.71
16205,115.91,2009,417.63,533.54,12206,Asthma,PDI_14,310.38
16206,-150.51,2010,357.5,206.99,12206,Asthma,PDI_14,119.14
16207,84.39,2011,363.93,448.31,12206,Asthma,PDI_14,254.11
16208,-105.52,2012,373.42,267.9,12206,Asthma,PDI_14,150.94
16216,-82.08,2010,122.44,40.36,12211,Asthma,PDI_14,67.82
16234,432.21,2009,511.19,943.4,12207,Asthma,PDI_14,448.37
16235,23.94,2010,437.96,461.89,12207,Asthma,PDI_14,217.02
16236,-193.99,2011,423.88,229.89,12207,Asthma,PDI_14,111.87
16237,-260.42,2012,449.46,189.04,12207,Asthma,PDI_14,88.49
16260,-79.86,2011,123.15,43.29,12211,Asthma,PDI_14,72.51
16263,-96.03,2009,249.78,153.75,12208,Asthma,PDI_14,149.55
16264,-121.15,2010,213.91,92.76,12208,Asthma,PDI_14,89.24
16265,-68.69,2011,222.02,153.33,12208,Asthma,PDI_14,142.46
16266,-45.19,2012,222.81,177.62,12208,Asthma,PDI_14,167.72
16291,58.0,2009,326.25,384.25,12209,Asthma,PDI_14,286.14
16292,-130.28,2010,277.12,146.84,12209,Asthma,PDI_14,109.04
16293,-137.9,2011,278.15,140.25,12209,Asthma,PDI_14,104.01
16294,-169.96,2012,299.16,129.2,12209,Asthma,PDI_14,90.86
16319,143.73,2009,483.05,626.78,12210,Asthma,PDI_14,315.24
16320,-114.63,2010,408.4,293.77,12210,Asthma,PDI_14,148.02
16321,-60.48,2011,405.31,344.83,12210,Asthma,PDI_14,175.5
16322,-231.85,2012,425.09,193.24,12210,Asthma,PDI_14,95.64
16347,-58.44,2009,143.98,85.54,12211,Asthma,PDI_14,144.35
16348,-90.94,2012,133.68,42.74,12211,Asthma,PDI_14,67.26
16373,-55.01,2009,125.38,70.37,12302,Asthma,PDI_14,136.37
16374,-15.18,2010,104.82,89.64,12302,Asthma,PDI_14,175.96
16375,70.91,2011,105.71,176.62,12302,Asthma,PDI_14,344.64
16376,-74.05,2012,109.03,34.98,12302,Asthma,PDI_14,67.5
16401,-38.28,2009,186.11,147.83,12303,Asthma,PDI_14,192.99
16402,-94.06,2010,158.4,64.34,12303,Asthma,PDI_14,83.59
16403,-33.12,2011,162.86,129.74,12303,Asthma,PDI_14,164.33
16404,-128.19,2012,233.99,105.8,12303,Asthma,PDI_14,95.13
16429,-169.42,2009,268.29,98.87,12304,Asthma,PDI_14,89.54
16430,-29.99,2010,229.11,199.12,12304,Asthma,PDI_14,178.84
16431,-136.78,2011,234.02,97.24,12304,Asthma,PDI_14,85.71
16432,-210.55,2012,323.74,113.19,12304,Asthma,PDI_14,73.56
16457,-144.14,2009,326.29,182.15,12305,Asthma,PDI_14,135.63
16458,-277.27,2010,277.27,0.0,12305,Asthma,PDI_14,0.0
16459,-294.03,2011,294.03,0.0,12305,Asthma,PDI_14,0.0
16460,-270.4,2012,270.4,0.0,12305,Asthma,PDI_14,0.0
16485,-69.72,2009,139.15,69.43,12306,Asthma,PDI_14,121.23
16486,-45.93,2010,118.28,72.35,12306,Asthma,PDI_14,125.86
16487,-66.24,2011,119.26,53.02,12306,Asthma,PDI_14,91.71
16488,-107.46,2012,143.31,35.85,12306,Asthma,PDI_14,52.63
16513,-178.95,2009,444.06,265.11,12307,Asthma,PDI_14,145.05
16514,-328.87,2010,382.55,53.68,12307,Asthma,PDI_14,28.87
16515,-386.5,2011,386.5,0.0,12307,Asthma,PDI_14,0.0
16516,-423.7,2012,464.75,41.05,12307,Asthma,PDI_14,18.58
16541,-246.43,2009,278.45,32.02,12308,Asthma,PDI_14,27.94
16542,-54.09,2010,247.64,193.55,12308,Asthma,PDI_14,160.83
16543,-88.97,2011,252.26,163.29,12308,Asthma,PDI_14,133.53
16544,-287.42,2012,317.66,30.24,12308,Asthma,PDI_14,20.03
16570,-110.16,2009,139.43,29.27,12309,Asthma,PDI_14,51.0
16571,-88.43,2010,118.29,29.86,12309,Asthma,PDI_14,51.94
16572,-106.37,2011,121.4,15.03,12309,Asthma,PDI_14,25.54
16573,-134.07,2012,134.07,0.0,12309,Asthma,PDI_14,0.0
16598,-197.51,2009,211.7,14.19,12401,Asthma,PDI_14,16.29
16599,-165.02,2010,179.38,14.36,12401,Asthma,PDI_14,16.47
16600,-137.57,2011,181.28,43.71,12401,Asthma,PDI_14,49.74
16601,-143.62,2012,210.17,66.55,12401,Asthma,PDI_14,66.62
16626,-140.82,2009,140.82,0.0,12404,Asthma,PDI_14,0.0
16627,-116.09,2010,116.09,0.0,12404,Asthma,PDI_14,0.0
16628,5.29,2011,117.71,123.0,12404,Asthma,PDI_14,215.55
16629,-108.69,2012,108.69,0.0,12404,Asthma,PDI_14,0.0
