,expected_rate_per_100_000_people,observed_rate_per_100_000_people,patient_zipcode,pqi_name,pqi_number,year
45675,43.12,0.0,12470,Asthma in Younger Adults,PQI_15,2012
45712,434.39,1060.4,12472,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
45713,405.79,530.75,12472,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
45714,406.89,645.15,12472,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
45715,401.06,1177.77,12472,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
45744,61.38,0.0,12472,Asthma in Younger Adults,PQI_15,2009
45745,50.49,0.0,12472,Asthma in Younger Adults,PQI_15,2010
45746,47.52,0.0,12472,Asthma in Younger Adults,PQI_15,2011
45747,47.96,221.21,12472,Asthma in Younger Adults,PQI_15,2012
45784,501.6,0.0,12473,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
45785,455.62,312.51,12473,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
45786,447.48,325.71,12473,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
45787,420.31,1208.46,12473,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
45816,55.88,0.0,12473,Asthma in Younger Adults,PQI_15,2009
45817,44.55,0.0,12473,Asthma in Younger Adults,PQI_15,2010
45818,43.23,0.0,12473,Asthma in Younger Adults,PQI_15,2011
45819,39.6,0.0,12473,Asthma in Younger Adults,PQI_15,2012
45856,534.71,167.64,12474,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
45857,493.46,423.72,12474,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
45858,485.21,444.84,12474,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
45859,459.47,491.37,12474,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
45888,52.91,0.0,12474,Asthma in Younger Adults,PQI_15,2009
45889,43.01,0.0,12474,Asthma in Younger Adults,PQI_15,2010
45890,41.58,0.0,12474,Asthma in Younger Adults,PQI_15,2011
45891,44.77,0.0,12474,Asthma in Younger Adults,PQI_15,2012
45928,472.56,599.28,12477,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
45929,441.54,409.42,12477,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
45930,440.55,704.44,12477,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
45931,425.37,665.83,12477,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
45960,71.28,15.95,12477,Asthma in Younger Adults,PQI_15,2009
45961,55.44,15.84,12477,Asthma in Younger Adults,PQI_15,2010
45962,54.78,0.0,12477,Asthma in Younger Adults,PQI_15,2011
45963,49.17,100.87,12477,Asthma in Younger Adults,PQI_15,2012
46000,527.56,346.06,12480,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
46001,517.0,0.0,12480,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
46002,517.99,280.94,12480,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
46003,465.63,270.27,12480,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
46032,56.98,0.0,12480,Asthma in Younger Adults,PQI_15,2009
46033,49.28,0.0,12480,Asthma in Younger Adults,PQI_15,2010
46034,45.87,0.0,12480,Asthma in Younger Adults,PQI_15,2011
46035,51.81,0.0,12480,Asthma in Younger Adults,PQI_15,2012
46072,443.08,983.62,12481,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
46073,416.46,571.45,12481,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
46074,420.64,813.01,12481,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
46075,461.56,1015.85,12481,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
46104,52.8,0.0,12481,Asthma in Younger Adults,PQI_15,2009
46105,42.13,0.0,12481,Asthma in Younger Adults,PQI_15,2010
46106,42.68,0.0,12481,Asthma in Younger Adults,PQI_15,2011
46107,47.19,0.0,12481,Asthma in Younger Adults,PQI_15,2012
46144,542.19,274.78,12482,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
46145,506.88,563.42,12482,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
46146,506.66,275.44,12482,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
46147,560.56,1166.22,12482,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
46176,54.67,0.0,12482,Asthma in Younger Adults,PQI_15,2009
46177,43.78,0.0,12482,Asthma in Younger Adults,PQI_15,2010
46178,43.89,0.0,12482,Asthma in Younger Adults,PQI_15,2011
46179,53.68,0.0,12482,Asthma in Younger Adults,PQI_15,2012
46216,448.69,190.74,12484,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
46217,420.09,538.89,12484,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
46218,436.81,582.12,12484,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
46219,408.32,305.58,12484,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
46248,54.23,0.0,12484,Asthma in Younger Adults,PQI_15,2009
46249,47.3,0.0,12484,Asthma in Younger Adults,PQI_15,2010
46250,45.76,0.0,12484,Asthma in Younger Adults,PQI_15,2011
46251,47.08,156.75,12484,Asthma in Younger Adults,PQI_15,2012
46288,497.2,1232.0,12485,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
46289,471.68,205.81,12485,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
46290,473.44,0.0,12485,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
46291,423.39,364.32,12485,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
46319,60.17,0.0,12485,Asthma in Younger Adults,PQI_15,2009
46320,47.85,0.0,12485,Asthma in Younger Adults,PQI_15,2010
46321,47.74,0.0,12485,Asthma in Younger Adults,PQI_15,2011
46322,50.93,0.0,12485,Asthma in Younger Adults,PQI_15,2012
46359,442.75,402.71,12486,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
46360,415.03,268.51,12486,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
46361,419.1,132.11,12486,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
46362,428.23,1055.45,12486,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
46391,61.27,0.0,12486,Asthma in Younger Adults,PQI_15,2009
46392,47.3,0.0,12486,Asthma in Younger Adults,PQI_15,2010
46393,44.99,0.0,12486,Asthma in Younger Adults,PQI_15,2011
46394,50.71,0.0,12486,Asthma in Younger Adults,PQI_15,2012
46431,445.39,230.56,12487,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
46432,414.92,360.47,12487,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
46433,413.82,1059.19,12487,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
46434,419.65,1080.75,12487,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
46463,59.18,0.0,12487,Asthma in Younger Adults,PQI_15,2009
46464,46.86,0.0,12487,Asthma in Younger Adults,PQI_15,2010
46465,46.64,0.0,12487,Asthma in Younger Adults,PQI_15,2011
46466,56.32,0.0,12487,Asthma in Younger Adults,PQI_15,2012
46503,487.96,447.26,12491,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
46504,457.71,264.77,12491,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
46505,454.74,555.61,12491,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
46506,448.58,691.68,12491,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
46535,53.46,0.0,12491,Asthma in Younger Adults,PQI_15,2009
46536,41.8,0.0,12491,Asthma in Younger Adults,PQI_15,2010
46537,41.58,0.0,12491,Asthma in Younger Adults,PQI_15,2011
46538,45.98,0.0,12491,Asthma in Younger Adults,PQI_15,2012
46575,511.5,339.02,12492,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
46576,468.38,0.0,12492,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
46577,454.52,380.27,12492,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
46578,451.77,0.0,12492,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
46607,55.99,0.0,12492,Asthma in Younger Adults,PQI_15,2009
46608,46.31,0.0,12492,Asthma in Younger Adults,PQI_15,2010
46609,47.96,0.0,12492,Asthma in Younger Adults,PQI_15,2011
46610,43.67,0.0,12492,Asthma in Younger Adults,PQI_15,2012
46647,485.21,956.89,12494,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
46648,447.26,234.19,12494,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
46649,430.21,484.22,12494,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
46650,433.4,253.77,12494,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
46679,61.93,0.0,12494,Asthma in Younger Adults,PQI_15,2009
46680,49.06,0.0,12494,Asthma in Younger Adults,PQI_15,2010
46681,47.96,0.0,12494,Asthma in Younger Adults,PQI_15,2011
46682,39.6,0.0,12494,Asthma in Younger Adults,PQI_15,2012
46719,465.63,411.51,12495,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
46720,461.34,0.0,12495,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
46721,451.22,0.0,12495,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
46722,428.89,0.0,12495,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
46751,56.87,0.0,12495,Asthma in Younger Adults,PQI_15,2009
46752,44.88,0.0,12495,Asthma in Younger Adults,PQI_15,2010
46753,43.67,0.0,12495,Asthma in Younger Adults,PQI_15,2011
46754,51.37,0.0,12495,Asthma in Younger Adults,PQI_15,2012
46791,512.6,226.49,12496,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
46792,474.43,113.85,12496,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
46793,462.66,107.91,12496,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
46794,449.35,452.98,12496,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
46823,52.91,0.0,12496,Asthma in Younger Adults,PQI_15,2009
46824,43.34,0.0,12496,Asthma in Younger Adults,PQI_15,2010
46825,40.81,0.0,12496,Asthma in Younger Adults,PQI_15,2011
46826,44.22,0.0,12496,Asthma in Younger Adults,PQI_15,2012
46863,488.73,282.81,12498,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
46864,457.27,359.37,12498,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
46865,457.38,276.32,12498,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
46866,445.5,413.6,12498,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
46895,59.07,0.0,12498,Asthma in Younger Adults,PQI_15,2009
46896,48.18,0.0,12498,Asthma in Younger Adults,PQI_15,2010
46897,47.63,0.0,12498,Asthma in Younger Adults,PQI_15,2011
46898,49.5,0.0,12498,Asthma in Younger Adults,PQI_15,2012
46935,503.69,0.0,12501,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
46936,465.52,0.0,12501,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
46937,477.29,0.0,12501,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
46938,484.66,68.31,12501,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
46967,66.0,149.93,12501,Asthma in Younger Adults,PQI_15,2009
46968,56.65,0.0,12501,Asthma in Younger Adults,PQI_15,2010
46969,53.57,0.0,12501,Asthma in Younger Adults,PQI_15,2011
46970,60.5,0.0,12501,Asthma in Younger Adults,PQI_15,2012
47007,487.3,155.32,12502,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
47008,450.34,176.33,12502,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
47009,465.96,451.11,12502,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
47010,440.11,702.24,12502,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
47039,53.24,0.0,12502,Asthma in Younger Adults,PQI_15,2009
47040,41.25,0.0,12502,Asthma in Younger Adults,PQI_15,2010
47041,37.29,0.0,12502,Asthma in Younger Adults,PQI_15,2011
47042,45.1,0.0,12502,Asthma in Younger Adults,PQI_15,2012
47079,499.73,386.87,12503,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
47080,460.57,0.0,12503,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
47081,453.86,0.0,12503,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
47082,429.44,0.0,12503,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
47111,52.8,0.0,12503,Asthma in Younger Adults,PQI_15,2009
47112,40.15,0.0,12503,Asthma in Younger Adults,PQI_15,2010
47113,37.84,0.0,12503,Asthma in Younger Adults,PQI_15,2011
47114,38.28,0.0,12503,Asthma in Younger Adults,PQI_15,2012
47147,476.52,0.0,12507,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
47148,397.98,0.0,12507,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
47163,58.41,0.0,12507,Asthma in Younger Adults,PQI_15,2009
47164,52.47,0.0,12507,Asthma in Younger Adults,PQI_15,2011
47187,564.85,403.7,12508,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
47188,535.59,647.35,12508,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
47189,529.76,602.36,12508,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
47190,506.11,594.33,12508,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
47219,106.81,105.71,12508,Asthma in Younger Adults,PQI_15,2009
47220,83.38,59.95,12508,Asthma in Younger Adults,PQI_15,2010
47221,81.95,48.73,12508,Asthma in Younger Adults,PQI_15,2011
47222,82.17,117.48,12508,Asthma in Younger Adults,PQI_15,2012
47259,542.19,1881.77,12513,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
47260,515.24,1069.53,12513,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
47261,501.49,1081.08,12513,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
47262,457.71,609.73,12513,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
47291,71.94,505.01,12513,Asthma in Younger Adults,PQI_15,2009
47292,54.01,0.0,12513,Asthma in Younger Adults,PQI_15,2010
47293,54.23,0.0,12513,Asthma in Younger Adults,PQI_15,2011
47294,52.69,0.0,12513,Asthma in Younger Adults,PQI_15,2012
47331,453.64,122.54,12514,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
47332,417.12,117.7,12514,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
47333,421.96,231.0,12514,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
47334,403.15,171.71,12514,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
47363,59.62,0.0,12514,Asthma in Younger Adults,PQI_15,2009
47364,46.86,0.0,12514,Asthma in Younger Adults,PQI_15,2010
47365,47.96,150.37,12514,Asthma in Younger Adults,PQI_15,2011
47366,48.73,0.0,12514,Asthma in Younger Adults,PQI_15,2012
47403,522.5,781.22,12515,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
47404,487.96,705.21,12515,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
47405,503.69,566.61,12515,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
47406,490.71,1274.79,12515,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
47435,65.56,0.0,12515,Asthma in Younger Adults,PQI_15,2009
47436,55.99,0.0,12515,Asthma in Younger Adults,PQI_15,2010
47437,54.45,0.0,12515,Asthma in Younger Adults,PQI_15,2011
47438,53.46,0.0,12515,Asthma in Younger Adults,PQI_15,2012
47476,531.08,100.65,12516,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
47477,495.33,303.38,12516,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
47478,489.39,104.17,12516,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
47479,450.78,448.8,12516,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
47507,60.17,0.0,12516,Asthma in Younger Adults,PQI_15,2009
47508,47.19,0.0,12516,Asthma in Younger Adults,PQI_15,2010
47509,45.65,0.0,12516,Asthma in Younger Adults,PQI_15,2011
47510,42.13,0.0,12516,Asthma in Younger Adults,PQI_15,2012
47545,499.51,0.0,12517,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
47546,455.95,0.0,12517,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
47547,424.05,1403.49,12517,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
47569,55.0,0.0,12517,Asthma in Younger Adults,PQI_15,2009
47570,44.0,0.0,12517,Asthma in Younger Adults,PQI_15,2011
47571,41.03,0.0,12517,Asthma in Younger Adults,PQI_15,2012
47601,455.51,470.91,12518,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
47602,430.65,298.98,12518,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
47603,427.68,124.19,12518,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
47604,414.92,159.83,12518,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
47633,66.77,0.0,12518,Asthma in Younger Adults,PQI_15,2009
47634,52.03,0.0,12518,Asthma in Younger Adults,PQI_15,2010
47635,51.92,0.0,12518,Asthma in Younger Adults,PQI_15,2011
47636,52.25,0.0,12518,Asthma in Younger Adults,PQI_15,2012
47673,504.46,512.49,12520,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
47674,463.43,357.17,12520,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
47675,457.27,320.76,12520,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
47676,457.16,0.0,12520,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
47705,62.26,0.0,12520,Asthma in Younger Adults,PQI_15,2009
47706,48.29,0.0,12520,Asthma in Younger Adults,PQI_15,2010
47707,47.85,147.07,12520,Asthma in Younger Adults,PQI_15,2011
47708,51.81,0.0,12520,Asthma in Younger Adults,PQI_15,2012
47745,505.56,114.29,12521,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
47746,475.86,114.51,12521,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
47747,461.12,224.18,12521,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
47748,464.75,303.93,12521,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
47777,56.76,275.44,12521,Asthma in Younger Adults,PQI_15,2009
47778,44.77,0.0,12521,Asthma in Younger Adults,PQI_15,2010
47779,43.67,0.0,12521,Asthma in Younger Adults,PQI_15,2011
47780,42.24,0.0,12521,Asthma in Younger Adults,PQI_15,2012
47817,478.94,198.44,12522,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
47818,447.04,157.74,12522,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
47819,447.59,149.82,12522,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
47820,450.12,109.01,12522,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
47849,64.79,0.0,12522,Asthma in Younger Adults,PQI_15,2009
47850,52.14,0.0,12522,Asthma in Younger Adults,PQI_15,2010
47851,51.7,0.0,12522,Asthma in Younger Adults,PQI_15,2011
47852,59.84,0.0,12522,Asthma in Younger Adults,PQI_15,2012
47889,516.01,494.56,12523,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
47890,475.2,97.46,12523,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
47891,478.72,95.7,12523,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
47892,453.09,535.15,12523,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
47921,53.79,0.0,12523,Asthma in Younger Adults,PQI_15,2009
47922,42.79,0.0,12523,Asthma in Younger Adults,PQI_15,2010
47923,40.7,0.0,12523,Asthma in Younger Adults,PQI_15,2011
47924,42.79,0.0,12523,Asthma in Younger Adults,PQI_15,2012
47962,513.15,311.41,12524,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
47963,482.57,306.46,12524,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
47964,474.98,313.61,12524,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
47965,493.13,295.46,12524,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
47994,75.02,73.04,12524,Asthma in Younger Adults,PQI_15,2009
47995,58.85,47.85,12524,Asthma in Younger Adults,PQI_15,2010
47996,57.97,52.69,12524,Asthma in Younger Adults,PQI_15,2011
47997,67.76,46.86,12524,Asthma in Younger Adults,PQI_15,2012
48034,436.15,302.83,12525,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
48035,403.37,114.84,12525,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
48036,409.53,172.7,12525,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
48037,390.94,170.39,12525,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
48065,67.76,115.72,12525,Asthma in Younger Adults,PQI_15,2009
48066,52.91,0.0,12525,Asthma in Younger Adults,PQI_15,2010
48067,52.14,0.0,12525,Asthma in Younger Adults,PQI_15,2011
48068,51.26,119.02,12525,Asthma in Younger Adults,PQI_15,2012
48105,509.52,484.66,12526,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
48106,471.57,263.01,12526,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
48107,472.89,501.71,12526,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
48108,458.7,783.97,12526,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
48137,55.99,110.88,12526,Asthma in Younger Adults,PQI_15,2009
48138,44.44,214.61,12526,Asthma in Younger Adults,PQI_15,2010
48139,41.47,124.19,12526,Asthma in Younger Adults,PQI_15,2011
48140,45.87,120.23,12526,Asthma in Younger Adults,PQI_15,2012
48178,525.03,808.39,12528,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
48179,494.67,617.21,12528,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
48180,499.18,621.06,12528,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
48181,482.57,641.85,12528,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
48209,67.87,50.38,12528,Asthma in Younger Adults,PQI_15,2009
48210,53.57,0.0,12528,Asthma in Younger Adults,PQI_15,2010
48211,53.46,55.0,12528,Asthma in Younger Adults,PQI_15,2011
48212,55.0,0.0,12528,Asthma in Younger Adults,PQI_15,2012
48249,504.24,68.53,12529,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
48250,490.05,69.3,12529,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
48251,459.36,123.75,12529,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
48252,439.78,55.55,12529,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
48281,55.77,0.0,12529,Asthma in Younger Adults,PQI_15,2009
48282,43.56,0.0,12529,Asthma in Younger Adults,PQI_15,2010
48283,42.68,0.0,12529,Asthma in Younger Adults,PQI_15,2011
48284,41.8,0.0,12529,Asthma in Younger Adults,PQI_15,2012
48321,420.64,757.57,12531,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2009
48322,392.04,278.74,12531,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2010
48323,393.47,515.79,12531,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2011
48324,390.72,515.79,12531,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults,PQI_05,2012
48353,58.63,0.0,12531,Asthma in Younger Adults,PQI_15,2009
48354,45.87,0.0,12531,Asthma in Younger Adults,PQI_15,2010
48355,45.32,0.0,12531,Asthma in Younger Adults,PQI_15,2011
48356,46.09,0.0,12531,Asthma in Younger Adults,PQI_15,2012
